timestamp,master_and_slave,master_xor_slave,neither,1st Res Pair,2nd Res Pair,3rd Res Pair
2020-4-8T21:32:00.000Z,0,0,1,2,7,4
2020-4-8T21:33:00.000Z,0,0,1,2,7,4
2020-4-8T21:34:00.000Z,0,0,1,2,4,7
2020-4-8T21:35:00.000Z,0,0,1,2,7,4
2020-4-8T21:36:00.000Z,0,0,1,7,2,4
2020-4-8T21:37:00.000Z,0,0,1,7,2,4
2020-4-8T21:38:00.000Z,0,0,1,7,2,4
2020-4-8T21:39:00.000Z,0,0,1,2,7,4
2020-4-8T21:40:00.000Z,0,0,1,2,7,4
2020-4-8T21:41:00.000Z,0,0,1,2,7,4
2020-4-8T21:42:00.000Z,0,0,1,2,7,4
2020-4-8T21:43:00.000Z,0,0,1,2,4,7
2020-4-8T21:44:00.000Z,0,0,1,2,7,4
2020-4-8T21:45:00.000Z,0,0,1,2,7,4
2020-4-8T21:46:00.000Z,0,0,1,7,2,4
2020-4-8T21:47:00.000Z,0,0,1,2,7,4
2020-4-8T21:48:00.000Z,0,0,1,2,7,4
2020-4-8T21:49:00.000Z,0,0,1,2,4,7
2020-4-8T21:50:00.000Z,0,0,1,2,4,2
2020-4-8T21:51:00.000Z,0,0,1,2,4,2
2020-4-8T21:52:00.000Z,0,0,1,2,4,2
2020-4-8T21:53:00.000Z,0,0,1,2,4,1
2020-4-8T21:54:00.000Z,0,0,1,2,2,4
2020-4-8T21:55:00.000Z,0,0,1,2,4,2
2020-4-8T21:56:00.000Z,0,0,1,2,4,1
2020-4-8T21:57:00.000Z,0,0,1,2,4,2
2020-4-8T21:58:00.000Z,0,0,1,2,4,2
2020-4-8T21:59:00.000Z,0,0,1,2,1,2
2020-4-8T22:0:00.000Z,0,0,1,2,2,4
2020-4-8T22:1:00.000Z,0,0,1,2,2,1
2020-4-8T22:2:00.000Z,0,0,1,2,4,1
2020-4-8T22:3:00.000Z,0,0,1,2,4,2
2020-4-8T22:4:00.000Z,0,0,1,2,1,2
2020-4-8T22:5:00.000Z,0,0,1,2,4,2
2020-4-8T22:6:00.000Z,0,0,1,2,2,1
2020-4-8T22:7:00.000Z,0,0,1,2,2,1
2020-4-8T22:8:00.000Z,0,0,1,2,2,1
2020-4-8T22:9:00.000Z,0,0,1,2,2,1
2020-4-8T22:10:00.000Z,0,0,1,2,2,1
2020-4-8T22:11:00.000Z,0,0,1,2,1,2
2020-4-8T22:12:00.000Z,0,0,1,2,2,1
2020-4-8T22:13:00.000Z,0,0,1,2,1,2
2020-4-8T22:14:00.000Z,0,0,1,2,2,4
2020-4-8T22:15:00.000Z,0,0,1,2,2,1
2020-4-8T22:16:00.000Z,0,0,1,2,2,1
2020-4-8T22:17:00.000Z,0,0,1,2,1,2
2020-4-8T22:18:00.000Z,0,0,1,2,1,2
2020-4-8T22:19:00.000Z,0,0,1,2,2,1
2020-4-8T22:20:00.000Z,0,0,1,2,1,2
2020-4-8T22:21:00.000Z,0,0,1,2,2,1
2020-4-8T22:22:00.000Z,0,0,1,2,2,1
2020-4-8T22:23:00.000Z,0,0,1,2,2,1
2020-4-8T22:24:00.000Z,0,0,1,2,1,2
2020-4-8T22:25:00.000Z,0,0,1,2,1,2
2020-4-8T22:26:00.000Z,0,0,1,2,1,2
2020-4-8T22:27:00.000Z,0,0,1,2,1,2
2020-4-8T22:28:00.000Z,0,0,1,2,1,2
2020-4-8T22:29:00.000Z,0,0,1,2,1,2
2020-4-8T22:30:00.000Z,0,0,1,2,1,2
2020-4-8T22:31:00.000Z,0,0,1,2,1,2
2020-4-8T22:32:00.000Z,0,0,1,2,1,2
2020-4-8T22:33:00.000Z,0,0,1,2,2,1
2020-4-8T22:34:00.000Z,0,0,1,2,2,1
2020-4-8T22:35:00.000Z,0,0,1,2,2,1
2020-4-8T22:36:00.000Z,0,0,1,2,2,1
2020-4-8T22:37:00.000Z,0,0,1,2,1,2
2020-4-8T22:38:00.000Z,0,0,1,2,2,1
2020-4-8T22:39:00.000Z,0,0,1,2,8,2
2020-4-8T22:40:00.000Z,0,0,1,2,2,1
2020-4-8T22:41:00.000Z,0,0,1,2,2,1
2020-4-8T22:42:00.000Z,0,0,1,2,8,1
2020-4-8T22:43:00.000Z,0,0,1,2,2,1
2020-4-8T22:44:00.000Z,0,0,1,2,1,2
2020-4-8T22:45:00.000Z,0,0,1,2,2,1
2020-4-8T22:46:00.000Z,0,0,1,2,1,2
2020-4-8T22:47:00.000Z,0,0,1,2,2,1
2020-4-8T22:48:00.000Z,0,0,1,2,8,1
2020-4-8T22:49:00.000Z,0,0,1,2,1,2
2020-4-8T22:50:00.000Z,0,0,1,2,1,8
2020-4-8T22:51:00.000Z,0,0,1,2,2,1
2020-4-8T22:52:00.000Z,0,0,1,2,1,2
2020-4-8T22:53:00.000Z,0,0,1,2,2,1
2020-4-8T22:54:00.000Z,0,0,1,2,2,1
2020-4-8T22:55:00.000Z,0,0,1,2,2,1
2020-4-8T22:56:00.000Z,0,0,1,2,2,1
