timestamp,master_and_slave,master_xor_slave,neither,1st Res Pair,2nd Res Pair,3rd Res Pair
2019-12-15T19:54:00.000Z,0,0,1,1,3,2
2019-12-15T19:55:00.000Z,0,0,1,3,1,9
2019-12-15T19:56:00.000Z,0,1,0,1,3,0
2019-12-15T19:57:00.000Z,0,1,0,3,9,0
2019-12-15T19:58:00.000Z,0,1,0,1,9,0
2019-12-15T19:59:00.000Z,0,1,0,1,9,0
2019-12-15T20:0:00.000Z,0,0,1,1,1,9
2019-12-15T20:1:00.000Z,0,0,1,9,1,3
2019-12-15T20:2:00.000Z,0,0,1,9,3,1
2019-12-15T20:3:00.000Z,0,0,1,1,9,3
2019-12-15T20:4:00.000Z,0,0,1,7,1,2
2019-12-15T20:5:00.000Z,0,0,1,1,9,2
2019-12-15T20:6:00.000Z,0,0,1,1,9,3
2019-12-15T20:7:00.000Z,0,1,0,1,0,2
2019-12-15T20:8:00.000Z,0,0,1,1,3,9
2019-12-15T20:9:00.000Z,0,0,1,1,9,4
2019-12-15T20:10:00.000Z,0,0,1,1,9,3
2019-12-15T20:11:00.000Z,0,1,0,1,9,0
2019-12-15T20:12:00.000Z,0,0,1,1,2,1
2019-12-15T20:13:00.000Z,0,0,1,1,1,7
2019-12-15T20:14:00.000Z,0,0,1,1,9,2
2019-12-15T20:15:00.000Z,0,0,1,1,1,9
2019-12-15T20:16:00.000Z,0,0,1,1,9,2
2019-12-15T20:17:00.000Z,0,0,1,9,1,2
2019-12-15T20:18:00.000Z,0,0,1,1,9,2
2019-12-15T20:19:00.000Z,0,0,1,9,1,2
2019-12-15T20:20:00.000Z,0,0,1,1,2,9
2019-12-15T20:21:00.000Z,0,0,1,1,1,9
2019-12-15T20:22:00.000Z,0,0,1,1,9,2
2019-12-15T20:23:00.000Z,0,0,1,1,9,1
2019-12-15T20:24:00.000Z,0,0,1,9,1,2
2019-12-15T20:25:00.000Z,0,0,1,9,1,2
2019-12-15T20:26:00.000Z,0,0,1,1,9,2
2019-12-15T20:27:00.000Z,0,0,1,1,9,2
2019-12-15T20:28:00.000Z,0,0,1,1,9,2
2019-12-15T20:29:00.000Z,0,0,1,1,2,9
2019-12-15T20:30:00.000Z,0,1,0,1,9,0
2019-12-15T20:31:00.000Z,0,0,1,1,9,1
2019-12-15T20:32:00.000Z,0,1,0,1,9,0
2019-12-15T20:33:00.000Z,0,0,1,1,9,1
2019-12-15T20:34:00.000Z,0,0,1,1,9,1
2019-12-15T20:35:00.000Z,0,0,1,1,1,2
2019-12-15T20:36:00.000Z,0,1,0,1,9,0
2019-12-15T20:37:00.000Z,0,0,1,1,1,2
2019-12-15T20:38:00.000Z,0,0,1,9,1,2
2019-12-15T20:39:00.000Z,0,0,1,1,7,1
2019-12-15T20:40:00.000Z,0,1,0,1,2,0
2019-12-15T20:41:00.000Z,0,0,1,1,2,7
2019-12-15T20:42:00.000Z,0,1,0,1,0,7
2019-12-15T20:43:00.000Z,0,1,0,1,0,7
2019-12-15T20:44:00.000Z,0,1,0,1,7,0
2019-12-15T20:45:00.000Z,0,1,0,1,0,2
2019-12-15T20:46:00.000Z,0,1,0,1,0,7
2019-12-15T20:47:00.000Z,0,1,0,1,0,2
2019-12-15T20:48:00.000Z,0,1,0,1,2,0
2019-12-15T20:49:00.000Z,0,0,1,1,2,4
2019-12-15T20:50:00.000Z,0,0,1,1,4,2
2019-12-15T20:51:00.000Z,0,0,1,1,2,4
2019-12-15T20:52:00.000Z,0,1,0,1,0,4
2019-12-15T20:53:00.000Z,0,1,0,1,4,0
2019-12-15T20:54:00.000Z,0,0,1,1,4,2
2019-12-15T20:55:00.000Z,0,0,1,1,4,4
2019-12-15T20:56:00.000Z,0,0,1,1,4,7
2019-12-15T20:57:00.000Z,0,0,1,1,4,1
2019-12-15T20:58:00.000Z,0,0,1,1,4,6
2019-12-15T20:59:00.000Z,0,1,0,1,4,0
2019-12-15T21:0:00.000Z,0,0,1,1,4,7
2019-12-15T21:1:00.000Z,0,1,0,1,4,0
2019-12-15T21:2:00.000Z,0,0,1,1,4,4
2019-12-15T21:3:00.000Z,0,0,1,1,4,1
2019-12-15T21:4:00.000Z,0,0,1,1,4,7
2019-12-15T21:5:00.000Z,0,0,1,1,4,1
2019-12-15T21:6:00.000Z,0,0,1,1,9,4
2019-12-15T21:7:00.000Z,0,0,1,1,1,4
2019-12-15T21:8:00.000Z,0,0,1,1,2,4
2019-12-15T21:9:00.000Z,0,0,1,1,2,1
2019-12-15T21:10:00.000Z,0,0,1,1,1,4
2019-12-15T21:11:00.000Z,0,0,1,1,4,8
2019-12-15T21:12:00.000Z,0,0,1,1,7,2
